Champ,Damage_done,Damage_taken,Gold_earned,Match_length,Minions_slain,Monsters_killed,Deaths,Win,Lane
Akali,9456.0,12351.0,5467.0,15.2,111.0,0.0,2.0,1.0,MIDDLE
Corki,28664.0,23502.0,12002.0,25.9,171.0,12.0,7.0,1.0,MIDDLE
Gwen,23528.0,37251.0,12765.0,28.033333333333335,50.0,184.0,5.0,0.0,JUNGLE
Gwen,14862.0,34786.0,11492.0,26.166666666666668,11.0,184.0,3.0,1.0,JUNGLE
Kindred,11886.0,24065.0,7407.0,20.833333333333332,20.0,85.0,9.0,0.0,JUNGLE
Corki,43156.0,26338.0,13383.0,26.95,222.0,0.0,7.0,0.0,MIDDLE
Taliyah,17708.0,16286.0,8991.0,23.2,157.0,20.0,5.0,1.0,MIDDLE
Kindred,12863.0,18436.0,7916.0,17.133333333333333,13.0,103.0,1.0,1.0,JUNGLE
Gwen,12439.0,27865.0,10388.0,19.75,10.0,174.0,2.0,1.0,JUNGLE
Hwei,45458.0,30921.0,11768.0,37.1,240.0,0.0,7.0,0.0,MIDDLE
